Date,Power (kW),Day type,Weekday,Hour,Temperature (C),Solar Rad (W/m2),Power-1
2017-06-02 19:00:00,185.3530187,0,4,19,17.586666666666666,40.535833333333336,240.7411265
2017-06-02 20:00:00,128.8729629,0,4,20,16.849999999999998,1.1511666666666667,185.3530187
2017-06-02 21:00:00,111.2080314,0,4,21,16.491666666666667,0.6089166666666667,128.8729629
2017-06-02 22:00:00,108.2004019,0,4,22,16.121666666666666,0.5075833333333334,111.2080314
2017-06-02 23:00:00,107.6082301,0,4,23,16.07923076923077,0.59,108.2004019
2017-06-03 00:00:00,97.7436635,1,5,0,15.902500000000002,0.6160833333333334,107.6082301
2017-06-03 01:00:00,95.0372742,1,5,1,15.707500000000001,0.5559999999999999,97.7436635
2017-06-03 02:00:00,89.2646491,1,5,2,15.708333333333334,0.6205833333333334,95.0372742
2017-06-03 03:00:00,87.5350951,1,5,3,15.418333333333335,0.6760833333333333,89.2646491
2017-06-03 04:00:00,84.1347843,1,5,4,15.0025,0.5399166666666667,87.5350951
2017-06-03 05:00:00,81.0248324,1,5,5,14.913333333333334,23.38508333333333,84.1347843
2017-06-03 06:00:00,78.0200664,1,5,6,15.596666666666666,225.975,81.0248324
2017-06-03 07:00:00,84.6290244,1,5,7,16.304166666666667,422.06666666666666,78.0200664
2017-06-03 08:00:00,99.1651049,1,5,8,16.750833333333333,572.4166666666666,84.6290244
2017-06-03 09:00:00,102.8739101,1,5,9,17.294999999999998,739.7833333333333,99.1651049
2017-06-03 10:00:00,106.0882843,1,5,10,18.035,875.6666666666666,102.8739101
2017-06-03 11:00:00,108.2485087,1,5,11,18.675833333333333,944.6666666666666,106.0882843
2017-06-03 12:00:00,110.5076193,1,5,12,18.993333333333336,928.1666666666666,108.2485087
2017-06-03 13:00:00,111.506599,1,5,13,18.930833333333336,927.25,110.5076193
2017-06-03 14:00:00,105.7272924,1,5,14,18.618333333333336,817.75,111.506599
2017-06-03 15:00:00,105.4903855,1,5,15,18.56083333333333,632.8416666666667,105.7272924
2017-06-03 16:00:00,110.8201226,1,5,16,17.6975,445.60833333333335,105.4903855
2017-06-03 17:00:00,108.6808972,1,5,17,16.940833333333334,254.45833333333334,110.8201226
2017-06-03 18:00:00,109.948855,1,5,18,16.378333333333334,203.4416666666667,108.6808972
2017-06-03 19:00:00,95.1962939,1,5,19,15.83,64.17999999999999,109.948855
2017-06-03 20:00:00,91.4055926,1,5,20,15.286666666666667,1.3358333333333334,95.1962939
2017-06-03 21:00:00,85.3563534,1,5,21,14.855833333333335,1.5665833333333332,91.4055926
2017-06-03 22:00:00,85.6621752,1,5,22,14.6425,1.5966666666666667,85.3563534
2017-06-03 23:00:00,86.3910314,1,5,23,14.458333333333334,1.7235000000000003,85.6621752
2017-06-04 00:00:00,87.5169596,1,6,0,14.560833333333333,2.109,86.3910314
2017-06-04 01:00:00,86.0319485,1,6,1,14.599166666666667,2.25425,87.5169596
2017-06-04 02:00:00,85.0406048,1,6,2,14.575833333333334,2.2404166666666665,86.0319485
2017-06-04 03:00:00,80.4977575,1,6,3,14.553333333333335,2.418083333333333,85.0406048
2017-06-04 04:00:00,82.0673373,1,6,4,14.398333333333333,3.0963333333333334,80.4977575
2017-06-04 05:00:00,75.5498204,1,6,5,14.3275,17.108,82.0673373
2017-06-04 06:00:00,74.4716172,1,6,6,14.798333333333332,138.24083333333334,75.5498204
2017-06-04 07:00:00,73.066975,1,6,7,15.777500000000002,376.9583333333333,74.4716172
2017-06-04 08:00:00,72.0214157,1,6,8,16.483333333333334,566.475,73.066975
2017-06-04 09:00:00,71.5098037,1,6,9,17.709166666666665,735.5833333333334,72.0214157
2017-06-04 10:00:00,76.3445371,1,6,10,18.345,870.3333333333334,71.5098037
2017-06-04 11:00:00,76.0858676,1,6,11,18.609166666666667,947.75,76.3445371
2017-06-04 12:00:00,78.3081345,1,6,12,18.940833333333334,921.5,76.0858676
2017-06-04 13:00:00,78.4471097,1,6,13,18.9275,908.4166666666666,78.3081345
2017-06-04 14:00:00,83.4771338,1,6,14,18.591666666666665,821.7416666666667,78.4471097
2017-06-04 15:00:00,88.1679286,1,6,15,18.514166666666668,669.4499999999999,83.4771338
2017-06-04 16:00:00,94.4262033,1,6,16,18.044166666666666,393.575,88.1679286
2017-06-04 17:00:00,98.4975276,1,6,17,17.743333333333336,406.75,94.4262033
2017-06-04 18:00:00,102.0476949,1,6,18,17.096666666666668,222.90833333333333,98.4975276
2017-06-04 19:00:00,98.5649153,1,6,19,16.2625,49.41616666666667,102.0476949
2017-06-04 20:00:00,93.5014837,1,6,20,15.574166666666665,2.152416666666667,98.5649153
2017-06-04 21:00:00,90.1490888,1,6,21,15.171666666666667,2.1527499999999997,93.5014837
2017-06-04 22:00:00,90.5717414,1,6,22,14.9425,2.1503333333333337,90.1490888
2017-06-04 23:00:00,93.9544894,1,6,23,14.7875,2.37425,90.5717414
2017-06-05 00:00:00,100.8604878,2,0,0,14.614166666666668,1.7743333333333335,93.9544894
2017-06-05 01:00:00,100.7488113,2,0,1,14.457500000000001,2.6765000000000003,100.8604878
2017-06-05 02:00:00,94.8612644,2,0,2,14.340833333333334,4.0240833333333335,100.7488113
2017-06-05 03:00:00,92.1415121,2,0,3,14.364166666666668,3.110583333333333,94.8612644
2017-06-05 04:00:00,92.5017404,2,0,4,14.277499999999998,3.3480000000000003,92.1415121
2017-06-05 05:00:00,94.1555071,2,0,5,14.353333333333333,35.54966666666667,92.5017404
2017-06-05 06:00:00,97.0907855,2,0,6,14.741666666666667,184.5,94.1555071
2017-06-05 07:00:00,165.0639758,2,0,7,15.575000000000001,372.325,97.0907855
2017-06-05 08:00:00,256.8433506,2,0,8,17.063333333333333,561.7833333333333,165.0639758
2017-06-05 09:00:00,288.8460175,2,0,9,18.44,725.65,256.8433506
2017-06-05 10:00:00,318.8047181,2,0,10,19.375,855.9166666666666,288.8460175
2017-06-05 11:00:00,321.7552685,2,0,11,20.0625,936.8333333333334,318.8047181
2017-06-05 12:00:00,325.0843736,2,0,12,20.31,966.9166666666666,321.7552685
2017-06-05 13:00:00,315.9645079,2,0,13,20.578333333333333,944.5,325.0843736
2017-06-05 14:00:00,330.3049159,2,0,14,19.9425,872.1666666666666,315.9645079
2017-06-05 15:00:00,327.5857363,2,0,15,19.604166666666668,754.3333333333334,330.3049159
2017-06-05 16:00:00,329.000878,2,0,16,19.709166666666665,595.0666666666667,327.5857363
2017-06-05 17:00:00,297.6050822,2,0,17,19.105,410.325,329.000878
2017-06-05 18:00:00,238.3678577,2,0,18,18.162499999999998,208.41083333333333,297.6050822
2017-06-05 19:00:00,175.9851739,2,0,19,17.284166666666668,13.743666666666668,238.3678577
2017-06-05 20:00:00,121.6783237,2,0,20,17.019166666666667,2.9873333333333334,175.9851739
2017-06-05 21:00:00,109.6497147,2,0,21,16.62666666666667,3.029083333333334,121.6783237
2017-06-05 22:00:00,108.6665797,2,0,22,16.779999999999998,2.1409166666666666,109.6497147
2017-06-05 23:00:00,105.0623877,2,0,23,16.988333333333333,1.5226666666666666,108.6665797
2017-06-06 00:00:00,93.8302135,2,1,0,17.135,1.2641666666666667,105.0623877
2017-06-06 01:00:00,90.7775316,2,1,1,16.9325,0.9320833333333334,93.8302135
2017-06-06 02:00:00,89.0340419,2,1,2,16.519166666666667,2.0486666666666666,90.7775316
2017-06-06 03:00:00,84.2676507,2,1,3,15.940833333333332,2.7914166666666667,89.0340419
2017-06-06 04:00:00,80.4131888,2,1,4,15.895000000000001,1.6011666666666666,84.2676507
2017-06-06 05:00:00,89.3230645,2,1,5,15.726666666666667,22.69141666666667,80.4131888
2017-06-06 06:00:00,95.4832166,2,1,6,16.158333333333335,145.06666666666666,89.3230645
2017-06-06 07:00:00,147.1734005,2,1,7,16.287499999999998,115.24166666666667,95.4832166
2017-06-06 08:00:00,217.4440723,2,1,8,16.78,282.9166666666667,147.1734005
2017-06-06 09:00:00,273.0219347,2,1,9,18.588333333333335,496.8416666666667,217.4440723
2017-06-06 10:00:00,307.7222095,2,1,10,19.12666666666667,536.9,273.0219347
2017-06-06 11:00:00,321.6241202,2,1,11,20.015833333333333,813.525,307.7222095
2017-06-06 12:00:00,324.0876847,2,1,12,20.42833333333333,994.4166666666666,321.6241202
2017-06-06 13:00:00,306.8014988,2,1,13,20.5225,953.9166666666666,324.0876847
2017-06-06 14:00:00,323.4924585,2,1,14,20.924166666666668,886.9166666666666,306.8014988
2017-06-06 15:00:00,337.6618201,2,1,15,20.763333333333332,769.75,323.4924585
2017-06-06 16:00:00,329.8673731,2,1,16,20.180833333333332,614.3833333333333,337.6618201
2017-06-06 17:00:00,301.7558209,2,1,17,19.298333333333336,433.40000000000003,329.8673731
2017-06-06 18:00:00,234.4261545,2,1,18,18.68166666666667,238.28333333333333,301.7558209
2017-06-06 19:00:00,171.3302683,2,1,19,17.712500000000002,64.59083333333334,234.4261545
2017-06-06 20:00:00,127.5492623,2,1,20,16.412499999999998,3.4463333333333335,171.3302683
2017-06-06 21:00:00,118.2978665,2,1,21,15.846666666666666,2.519416666666667,127.5492623
2017-06-06 22:00:00,110.7704886,2,1,22,15.585,2.381083333333333,118.2978665
2017-06-06 23:00:00,106.558471,2,1,23,15.2975,2.5335,110.7704886
2017-06-07 00:00:00,103.6623271,2,2,0,15.18,2.316666666666667,106.558471
2017-06-07 01:00:00,97.9521263,2,2,1,14.909999999999998,3.144833333333333,103.6623271
2017-06-07 02:00:00,93.2725946,2,2,2,15.137500000000001,2.27025,97.9521263
2017-06-07 03:00:00,86.1617605,2,2,3,15.264166666666666,2.91175,93.2725946
2017-06-07 04:00:00,86.5200798,2,2,4,15.349166666666667,2.7434999999999996,86.1617605
2017-06-07 05:00:00,91.6875519,2,2,5,15.8225,36.17308333333333,86.5200798
2017-06-07 06:00:00,96.8317342,2,2,6,16.640833333333333,183.71666666666667,91.6875519
2017-06-07 07:00:00,147.9202013,2,2,7,18.281666666666666,373.30833333333334,96.8317342
2017-06-07 08:00:00,228.8976905,2,2,8,20.50583333333333,562.975,147.9202013
2017-06-07 09:00:00,287.6511744,2,2,9,21.522499999999997,733.3666666666667,228.8976905
2017-06-07 10:00:00,318.7197676,2,2,10,24.031666666666666,869.0,287.6511744
2017-06-07 11:00:00,333.1966691,2,2,11,26.39333333333333,959.25,318.7197676
2017-06-07 12:00:00,353.0407241,2,2,12,27.727500000000003,991.4166666666666,333.1966691
2017-06-07 13:00:00,338.9744485,2,2,13,29.256666666666664,972.25,353.0407241
2017-06-07 14:00:00,368.5475311,2,2,14,31.040833333333335,896.75,338.9744485
2017-06-07 15:00:00,372.2880257,2,2,15,30.77,760.8333333333334,368.5475311
2017-06-07 16:00:00,389.3241326,2,2,16,29.221666666666668,611.4083333333333,372.2880257
2017-06-07 17:00:00,353.0783314,2,2,17,27.995833333333334,430.0416666666667,389.3241326
2017-06-07 18:00:00,270.5411892,2,2,18,26.886666666666667,233.65,353.0783314
2017-06-07 19:00:00,196.0911437,2,2,19,25.444166666666664,63.041666666666664,270.5411892
2017-06-07 20:00:00,144.8831732,2,2,20,24.14916666666667,3.88275,196.0911437
2017-06-07 21:00:00,130.3936723,2,2,21,23.14,3.24225,144.8831732
2017-06-07 22:00:00,123.3588164,2,2,22,22.787499999999998,3.455,130.3936723
2017-06-07 23:00:00,114.1360556,2,2,23,22.644166666666667,3.4019999999999997,123.3588164
2017-06-08 00:00:00,98.4507571,2,3,0,21.3,2.936083333333333,114.1360556
2017-06-08 01:00:00,92.7111577,2,3,1,20.42833333333333,2.7860833333333335,98.4507571
2017-06-08 02:00:00,90.0419939,2,3,2,19.813333333333333,2.66425,92.7111577
2017-06-08 03:00:00,89.1245285,2,3,3,20.14166666666667,2.60675,90.0419939
2017-06-08 04:00:00,89.3480724,2,3,4,20.081666666666667,2.8441666666666667,89.1245285
2017-06-08 05:00:00,95.6758347,2,3,5,19.375,19.124166666666667,89.3480724
2017-06-08 06:00:00,97.4342146,2,3,6,19.613333333333333,171.775,95.6758347
2017-06-08 07:00:00,150.8980504,2,3,7,21.723333333333333,414.9916666666666,97.4342146
2017-06-08 08:00:00,232.3172822,2,3,8,22.375,524.3416666666667,150.8980504
2017-06-08 09:00:00,300.0638742,2,3,9,22.390833333333333,649.975,232.3172822
2017-06-08 10:00:00,342.6926078,2,3,10,22.382499999999997,709.125,300.0638742
2017-06-08 11:00:00,345.5536261,2,3,11,22.35166666666667,819.5333333333333,342.6926078
2017-06-08 12:00:00,352.7213484,2,3,12,22.882499999999997,743.0500000000001,345.5536261
2017-06-08 13:00:00,338.2685003,2,3,13,21.418333333333333,602.6166666666667,352.7213484
2017-06-08 14:00:00,332.68143,2,3,14,21.142500000000002,551.4333333333333,338.2685003
2017-06-08 15:00:00,335.2316631,2,3,15,21.936666666666667,572.5583333333333,332.68143
2017-06-08 16:00:00,322.0658628,2,3,16,23.430833333333336,493.5083333333334,335.2316631
2017-06-08 17:00:00,300.2776822,2,3,17,23.37,393.4666666666667,322.0658628
2017-06-08 18:00:00,249.2777927,2,3,18,21.319166666666668,233.5,300.2776822
2017-06-08 19:00:00,196.2406184,2,3,19,19.315833333333334,36.18083333333333,249.2777927
2017-06-08 20:00:00,144.4206225,2,3,20,17.356666666666666,3.365083333333333,196.2406184
2017-06-08 21:00:00,126.5168751,2,3,21,16.6975,2.4315,144.4206225
2017-06-08 22:00:00,108.4010378,2,3,22,16.355833333333333,2.498416666666667,126.5168751
2017-06-08 23:00:00,101.589344,2,3,23,16.499166666666667,2.4685833333333336,108.4010378
2017-06-09 00:00:00,100.589028,2,4,0,16.736666666666668,2.4386666666666668,101.589344
2017-06-09 01:00:00,92.387964,2,4,1,16.905,2.3830833333333334,100.589028
2017-06-09 02:00:00,86.1081176,2,4,2,16.929166666666667,2.1662500000000002,92.387964
2017-06-09 03:00:00,83.2119737,2,4,3,16.913333333333334,2.7314166666666666,86.1081176
2017-06-09 04:00:00,85.0931023,2,4,4,17.010833333333334,3.1306666666666665,83.2119737
2017-06-09 05:00:00,90.7658867,2,4,5,16.905,12.542,85.0931023
2017-06-09 06:00:00,95.5296053,2,4,6,17.091666666666665,77.175,90.7658867
2017-06-09 07:00:00,146.3960557,2,4,7,17.974166666666665,297.90000000000003,95.5296053
2017-06-09 08:00:00,206.4554865,2,4,8,19.161666666666665,544.8000000000001,146.3960557
2017-06-09 09:00:00,279.7631864,2,4,9,20.74416666666667,696.8416666666667,206.4554865
2017-06-09 10:00:00,321.8699994,2,4,10,21.190833333333334,765.0833333333334,279.7631864
2017-06-09 11:00:00,336.1955172,2,4,11,21.522499999999997,865.9166666666666,321.8699994
2017-06-09 12:00:00,335.4153089,2,4,12,23.331666666666667,910.1666666666666,336.1955172
2017-06-09 13:00:00,323.8996482,2,4,13,23.965833333333332,925.25,335.4153089
2017-06-09 14:00:00,327.1342578,2,4,14,24.143333333333334,876.1666666666666,323.8996482
2017-06-09 15:00:00,340.0303164,2,4,15,23.38416666666667,802.475,327.1342578
2017-06-09 16:00:00,331.0379719,2,4,16,23.0575,511.10833333333335,340.0303164
2017-06-09 17:00:00,290.7183647,2,4,17,21.963333333333335,308.5416666666667,331.0379719
2017-06-09 18:00:00,243.45477,2,4,18,21.0575,192.85,290.7183647
2017-06-09 19:00:00,183.5396596,2,4,19,19.9875,80.7125,243.45477
2017-06-09 20:00:00,140.815476,2,4,20,18.99416666666667,3.9091666666666662,183.5396596
2017-06-09 21:00:00,124.4805448,2,4,21,18.373333333333335,1.31925,140.815476
2017-06-09 22:00:00,105.8252241,2,4,22,17.996666666666666,1.5249166666666667,124.4805448
2017-06-09 23:00:00,99.8798345,2,4,23,17.890833333333333,1.50875,105.8252241
2017-06-10 00:00:00,92.0983687,1,5,0,17.879166666666666,1.9378333333333335,99.8798345
2017-06-10 01:00:00,88.2929681,1,5,1,17.44666666666667,1.9195,92.0983687
2017-06-10 02:00:00,89.3495996,1,5,2,17.2275,1.7439166666666666,88.2929681
2017-06-10 03:00:00,86.0993362,1,5,3,17.048333333333336,1.8088333333333333,89.3495996
2017-06-10 04:00:00,83.4568984,1,5,4,16.87,2.041583333333333,86.0993362
2017-06-10 05:00:00,77.4731379,1,5,5,16.855,28.57133333333333,83.4568984
2017-06-10 06:00:00,71.9870537,1,5,6,17.920833333333334,129.59416666666667,77.4731379
2017-06-10 07:00:00,71.4972043,1,5,7,18.643333333333334,316.05,71.9870537
2017-06-10 08:00:00,77.4838283,1,5,8,20.0875,498.40000000000003,71.4972043
2017-06-10 09:00:00,83.1835296,1,5,9,21.186666666666667,709.4,77.4838283
2017-06-10 10:00:00,90.4090946,1,5,10,23.190833333333334,863.6666666666666,83.1835296
2017-06-10 11:00:00,95.1031347,1,5,11,25.575,954.8333333333334,90.4090946
2017-06-10 12:00:00,96.9625007,1,5,12,26.453333333333333,962.8333333333334,95.1031347
2017-06-10 13:00:00,99.5184608,1,5,13,26.215,966.5,96.9625007
2017-06-10 14:00:00,100.6218628,1,5,14,25.98,906.25,99.5184608
2017-06-10 15:00:00,107.3195893,1,5,15,25.17833333333333,748.9499999999999,100.6218628
2017-06-10 16:00:00,112.5189417,1,5,16,23.42833333333333,583.225,107.3195893
2017-06-10 17:00:00,109.5701094,1,5,17,22.546666666666667,430.6666666666667,112.5189417
2017-06-10 18:00:00,109.6031351,1,5,18,22.139166666666668,233.29166666666666,109.5701094
